date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:10	223/223	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_apple_image__b5er5ngrzxqq_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_apple_image__b5er5ngrzxqq_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:11	75788/75788	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:10%20GMT	https://www.apple.com/uk/healthcare/apple-watch/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/healthcare/apple-watch/index.html	(from https://www.apple.com/uk/)
19:28:11	254/254	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_apple_image__b5er5ngrzxqq_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_apple_image__b5er5ngrzxqq_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:11	638/638	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_store_image__c7jy08initqq_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_store_image__c7jy08initqq_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:11	886/886	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_store_image__c7jy08initqq_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_store_image__c7jy08initqq_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:11	215415/215415	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:10%20GMT	https://www.apple.com/uk/accessibility/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/accessibility/index.html	(from https://www.apple.com/uk/)
19:28:11	240/240	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_mac_image__dazlko3t9a6a_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_mac_image__dazlko3t9a6a_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:12	432/432	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_mac_image__dazlko3t9a6a_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_mac_image__dazlko3t9a6a_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:12	315/315	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_ipad_image__fw9qyj9lloi2_large.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_ipad_image__fw9qyj9lloi2_large.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
19:28:12	428/428	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2023:22:49%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_ipad_image__fw9qyj9lloi2_small.png	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/images/be15095f-5a20-57d0-ad14-cf4c638e223a/globalnav_links_ipad_image__fw9qyj9lloi2_small.png	(from https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css)
